;user-id;age;education;years-bpmn-experience;field;tutorial-helpful;tutorial-ready;tutorial-relevant;visualization-understanding;visualization-helpful;visualization-time;visualization-confidence;visualization-dependence;visualization-certainty;visualization-decisions;combination-efficiency;combination-understanding;combination-confidence;combination-overwhelming;combination-too-much;combination-focus;recommendation-helpful;recommendation-time;recommendation-assistance;recommendation-confidence;recommendation-dependence;recommendation-reliance;recommendation-decisions;recommendation-suggestions;workflow-speed;workflow-intuitive;workflow-suitable;workflow-efficient;workflow-task-mapping;comparisons-no-assistance;comparisons-recommendation;comparisons-visualization;combination-synergy;best-assistance-feature;has-experience
0;10;20-30;apprenticeship;0;service industry;4;3;5;1;2;2;2;1;3;3;3;4;5;1;2;1;4;5;5;3;4;4;4;5;3;4;4;3;4;5;5;5;5;combination;False
1;11;61+;phd;25;computer-science;5;5;5;5;5;5;5;2;5;5;5;5;5;1;1;1;5;5;5;4;2;2;5;5;4;5;5;5;5;5;5;5;5;combination;True
2;12;31-40;masters;7;computer-science;3;4;5;5;5;3;4;3;4;4;4;5;4;1;2;1;5;3;4;3;3;1;4;2;3;4;4;5;5;5;4;5;5;combination;True
3;13;31-40;phd;12;computer-science;5;5;5;4;4;3;5;2;4;5;5;4;5;1;2;1;4;4;5;3;4;4;5;4;4;5;4;4;4;5;5;4;5;combination;True
4;14;31-40;phd;6;computer-science;5;5;5;4;4;4;4;2;4;5;1;1;1;3;4;2;5;5;5;4;2;1;3;2;4;5;5;5;5;3;5;1;4;recommendations;True
5;15;31-40;masters;6;computer-science;5;4;4;5;5;4;5;4;5;4;5;5;4;1;1;1;4;3;3;4;2;5;4;3;3;4;4;5;5;5;4;5;5;visualization;True
6;16;20-30;masters;5;computer-science;5;5;5;5;5;3;5;4;5;5;5;5;5;2;1;1;4;5;4;3;2;2;5;4;5;4;5;5;5;5;5;4;5;combination;True
7;17;20-30;masters;0;computer-science;5;5;5;3;1;1;1;1;1;1;3;2;2;3;2;2;5;5;5;5;5;5;5;4;4;4;5;4;4;5;5;2;2;recommendations;False
8;18;31-40;masters;7;mathematics;5;5;5;4;4;2;5;3;5;4;4;4;4;3;3;2;4;4;2;3;1;2;3;2;4;4;5;5;4;5;3;4;4;visualization;True
9;19;20-30;high-school;0;public service;5;4;5;4;4;3;5;1;4;5;3;4;3;2;3;2;4;4;4;4;2;4;4;2;5;4;5;2;4;4;4;4;3;recommendations;False
10;20;31-40;masters;5;computer-science;5;5;5;5;5;4;5;2;5;5;5;5;5;2;3;2;5;5;4;4;2;5;5;4;4;4;5;4;5;4;5;4;5;combination;True
11;21;20-30;apprenticeship;0;economics;5;3;5;2;2;2;1;2;2;2;2;3;2;4;3;4;4;5;4;4;4;3;5;3;4;2;4;4;4;4;4;2;2;recommendations;False
12;22;20-30;bachelors;0;computer-science;5;4;5;5;2;1;4;1;4;3;5;5;5;1;1;1;4;4;5;4;3;4;5;5;5;5;4;5;5;5;5;1;3;recommendations;False
13;23;20-30;high-school;0;engineering;5;4;5;5;5;5;4;2;4;4;3;4;4;4;5;2;4;4;4;4;5;1;3;2;4;4;5;5;4;5;5;4;4;recommendations;False
14;24;20-30;masters;0;economics;5;5;5;5;5;3;3;2;4;4;3;4;4;3;4;3;4;4;4;3;5;2;2;1;4;5;5;5;5;5;5;4;5;recommendations;False
15;25;20-30;high-school;1;computer-science;4;5;5;4;5;2;4;3;3;4;3;4;2;2;4;1;4;3;3;2;4;2;4;4;4;5;4;4;5;4;4;2;3;recommendations;True
16;26;20-30;high-school;1;computer-science;5;4;5;5;5;5;3;4;4;4;4;5;5;1;5;5;5;5;4;3;4;3;4;3;5;4;5;5;5;5;5;5;3;visualization;True
17;27;20-30;bachelors;0;engineering;5;5;5;5;5;4;4;3;4;5;4;3;3;4;4;2;2;4;4;3;5;2;4;3;4;4;5;4;5;5;5;4;5;combination;False
18;28;20-30;high-school;0;economics;5;3;5;5;4;4;4;3;4;5;4;5;4;4;4;2;2;4;4;3;5;4;4;5;4;3;5;3;5;5;4;4;5;recommendations;False
19;29;20-30;apprenticeship;0;engineering;5;4;5;4;4;3;3;4;4;4;4;3;3;4;3;2;4;2;4;3;3;1;3;2;4;4;5;5;4;4;4;2;2;recommendations;False
20;30;20-30;bachelors;0;computer-science;4;4;5;4;5;4;4;4;4;3;4;2;3;2;3;4;2;4;4;2;5;2;4;4;4;4;4;4;4;5;4;4;3;recommendations;False
21;31;20-30;masters;0;engineering;5;4;4;5;4;5;4;4;4;4;4;3;4;3;2;4;2;4;3;2;2;1;2;2;4;5;5;4;4;5;5;2;2;recommendations;False
22;32;20-30;apprenticeship;0;public service;5;3;5;5;5;5;4;4;5;4;5;2;1;1;4;4;3;1;1;1;1;1;1;1;4;4;5;4;5;4;4;1;1;recommendations;False
23;33;20-30;bachelors;0;engineering;4;4;4;5;4;5;4;4;3;4;3;4;3;2;2;4;3;2;2;2;2;1;1;2;4;4;5;4;4;5;4;1;2;recommendations;False
24;34;20-30;bachelors;0;economics;5;4;5;3;4;4;4;4;4;3;3;2;2;1;2;3;4;4;5;4;4;4;5;3;4;4;5;4;5;5;5;3;3;recommendations;False
25;35;20-30;high-school;0;economics;5;4;4;4;4;4;3;2;2;3;2;2;1;1;1;2;5;4;4;3;3;4;4;5;4;5;5;4;4;5;5;2;3;recommendations;False
26;36;20-30;high-school;0;public service;5;4;5;4;3;4;2;3;1;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;3;3;4;3;4;4;4;4;2;recommendations;False
27;37;20-30;bachelors;0;engineering;5;4;5;4;4;4;2;2;2;2;1;1;2;1;1;2;5;5;4;4;4;4;4;5;4;4;5;5;4;5;5;3;4;recommendations;False
28;38;20-30;bachelors;0;computer-science;5;5;5;3;2;2;2;2;2;3;2;1;2;2;2;2;5;4;4;4;4;5;4;4;4;4;5;4;4;5;5;2;3;recommendations;False
29;39;20-30;masters;3;economics;4;5;4;4;4;4;4;5;3;5;5;4;5;1;4;5;5;3;4;4;5;3;4;1;4;5;5;3;4;4;4;4;3;visualization;True
30;40;20-30;masters;3;economics;5;4;5;5;5;4;3;3;2;3;4;4;3;2;4;3;5;5;4;3;2;2;3;4;4;4;5;4;5;5;5;2;4;combination;True
